CPT Code,State,5th %ile,10th %ile,25th %ile,50th %ile,75th %ile,90th %ile,95th %ile
97151,AK,$22.20,$22.20,$22.20,$22.20,$24.20,$25.22,$25.22
97151,AL,$20.49,$20.49,$20.49,$22.22,$24.31,$26.62,$28.06
97151,AR,$20.30,$20.30,$20.30,$20.30,$22.06,$24.63,$25.30
97151,AZ,$23.20,$23.20,$23.20,$24.53,$27.30,$28.84,$29.18
97151,CA,$21.80,$22.46,$23.67,$24.55,$28.28,$31.13,$32.29
97151,CO,$22.06,$22.24,$23.29,$25.19,$31.42,$32.42,$34.44
97151,CT,$21.80,$21.80,$21.80,$24.41,$26.23,$28.95,$31.10
97151,DC,$19.00,$19.00,$19.00,$19.00,$20.98,$20.98,$20.98
97151,DE,$21.63,$21.63,$21.80,$21.80,$22.80,$22.80,$22.80
97151,FL,$21.46,$21.80,$21.99,$21.99,$23.07,$25.70,$27.68
97151,GA,$21.46,$21.46,$21.46,$21.80,$26.51,$31.22,$34.67
97151,HI,$21.80,$21.80,$21.80,$22.13,$22.13,$23.13,$24.02
97151,IA,$20.15,$20.15,$22.20,$23.53,$25.51,$27.18,$27.18
97151,ID,$20.67,$20.67,$21.61,$22.92,$23.34,$24.35,$25.55
97151,IL,$21.76,$21.80,$21.80,$22.69,$24.34,$26.88,$27.80
97151,IN,$20.72,$20.74,$20.86,$21.80,$24.01,$28.14,$28.58
97151,KS,$20.51,$20.77,$21.80,$22.69,$24.19,$26.53,$27.87
97151,KY,$23.20,$23.20,$23.20,$23.20,$23.20,$29.35,$32.77
97151,LA,$21.47,$22.03,$22.03,$22.03,$22.67,$24.07,$24.73
97151,MA,$21.99,$22.85,$23.18,$25.53,$27.75,$30.57,$31.95
97151,MD,$21.80,$21.80,$21.80,$21.80,$25.13,$30.89,$32.74
97151,ME,$23.20,$23.20,$23.20,$23.20,$23.20,$24.70,$24.70
97151,MI,$21.74,$21.80,$21.80,$22.49,$26.01,$28.63,$33.78
97151,MN,$22.20,$22.20,$22.48,$24.52,$24.52,$27.32,$29.10
97151,MO,$20.92,$21.47,$21.80,$22.69,$24.26,$25.34,$26.48
97151,MS,$20.62,$20.62,$20.62,$20.62,$21.50,$21.60,$23.11
97151,MT,$25.40,$25.40,$25.40,$25.40,$25.40,$25.40,$25.40
97151,NC,$22.45,$22.45,$22.46,$23.34,$26.01,$28.89,$31.00
97151,ND,$25.40,$25.40,$25.40,$28.06,$30.60,$30.60,$30.60
97151,NE,$25.40,$25.40,$25.40,$30.60,$35.67,$35.67,$35.67
97151,NH,$21.99,$22.13,$22.62,$24.55,$25.35,$28.90,$30.57
97151,NJ,$21.46,$21.46,$21.80,$21.80,$23.69,$27.51,$30.20
97151,NM,$21.80,$21.94,$21.94,$23.13,$25.34,$25.89,$27.64
97151,NV,$21.80,$22.26,$22.26,$23.14,$23.35,$24.02,$26.20
97151,NY,$22.33,$22.68,$23.14,$26.50,$30.00,$30.34,$31.79
97151,OH,$20.83,$21.15,$23.09,$24.87,$25.76,$28.01,$29.53
97151,OK,$21.94,$21.94,$21.94,$21.99,$23.72,$24.20,$24.86
97151,OR,$20.72,$20.72,$21.43,$22.32,$22.32,$26.94,$26.94
97151,PA,$21.82,$22.01,$22.79,$24.01,$25.90,$28.71,$29.71
97151,RI,$20.49,$21.72,$21.72,$22.69,$25.53,$26.06,$31.85
97151,SC,$20.64,$20.64,$21.80,$21.80,$24.19,$25.70,$26.03
97151,SD,$19.00,$19.00,$19.43,$24.00,$34.01,$42.65,$42.65
97151,TN,$20.71,$20.71,$20.71,$22.54,$24.19,$27.65,$29.64
97151,TX,$21.80,$21.94,$21.94,$22.94,$27.07,$30.41,$32.83
97151,UT,$20.85,$21.76,$21.86,$22.26,$24.06,$26.89,$26.89
97151,VA,$21.80,$21.80,$21.80,$21.80,$22.46,$26.53,$29.10
97151,VT,$21.16,$21.16,$21.16,$22.00,$22.00,$26.00,$28.00
97151,WA,$21.69,$21.80,$21.80,$22.75,$23.60,$27.01,$28.90
97151,WI,$23.20,$23.20,$23.20,$25.80,$27.44,$29.34,$29.34
97151,WV,$19.15,$19.15,$19.15,$19.15,$19.15,$19.15,$19.15
97152,AK,$18.20,$18.20,$18.20,$19.70,$20.45,$22.20,$22.20
97152,AL,$14.64,$14.64,$15.64,$16.17,$19.20,$20.97,$21.53
97152,AR,$14.39,$14.39,$14.39,$15.38,$17.47,$19.43,$19.43
97152,AZ,$15.14,$15.94,$17.22,$22.96,$25.18,$26.32,$27.22
97152,CA,$15.47,$16.30,$17.67,$18.41,$21.53,$24.63,$25.89
97152,CO,$15.80,$15.80,$15.94,$19.30,$24.50,$27.04,$27.70
97152,CT,$15.47,$15.47,$16.47,$17.68,$20.33,$22.62,$23.73
97152,DC,$14.00,$14.00,$14.00,$14.00,$14.47,$14.47,$14.47
97152,DE,$15.38,$15.38,$15.47,$16.47,$17.80,$17.80,$17.80
97152,FL,$15.25,$15.47,$15.64,$16.64,$17.33,$20.24,$21.20
97152,GA,$15.25,$15.25,$15.25,$16.47,$20.53,$22.71,$25.94
97152,HI,$15.47,$15.47,$15.47,$16.85,$16.85,$18.18,$18.18
97152,IA,$16.73,$16.73,$19.38,$21.03,$21.86,$23.51,$24.34
97152,ID,$14.66,$15.45,$15.59,$16.54,$17.87,$20.10,$25.18
97152,IL,$14.70,$15.36,$16.25,$16.47,$18.85,$21.51,$22.37
97152,IN,$14.43,$14.80,$14.97,$16.47,$17.91,$21.63,$22.63
97152,KS,$14.55,$14.55,$16.25,$16.47,$17.85,$20.42,$21.20
97152,KY,$14.47,$14.80,$15.14,$16.47,$17.76,$21.82,$24.35
97152,LA,$15.25,$15.41,$15.41,$16.41,$17.13,$19.52,$21.07
97152,MA,$15.78,$16.28,$17.83,$19.27,$20.83,$23.26,$24.73
97152,MD,$15.47,$15.47,$15.47,$16.47,$19.85,$23.48,$26.07
97152,ME,$16.20,$16.20,$16.20,$17.70,$17.70,$19.70,$19.70
97152,MI,$15.47,$15.47,$16.08,$16.47,$18.57,$23.89,$24.67
